title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Arkansas Facilities Management Department - Janitorial Supply Contract,Arkansas Facilities Management Department,"Little Rock, AR",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Arkansas Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ar.gov,Facilities Director,facilities@dgs.ar.gov,(AR) State Facilities Office,true,open,11/05/2025
Arkansas Department of Education - Janitorial Supply Contract,Arkansas Department of Education,"Little Rock, AR",Education,"$1,000,000 - $5,000,000",02/03/2026,"Arkansas Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ar.gov,Procurement Services,procurement@education.ar.gov,(AR) DOE Procurement,true,open,11/05/2025
Arkansas University System - Janitorial Supply Contract,Arkansas University System,"Little Rock, AR",Education,"$500,000 - $2,000,000",02/03/2026,Arkansas government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.arkansas.gov,Procurement Office,procurement@ar.gov,(AR) State Procurement,true,open,11/05/2025
Arkansas Healthcare Network - Janitorial Supply Contract,Arkansas Healthcare Network,"Little Rock, AR",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Arkansas healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.arkansashealthnetwork.org,Supply Chain Director,procurement@arkansashealth.org,(AR) Healthcare Procurement,true,open,11/05/2025
Arkansas Hospitality Group - Janitorial Supply Contract,Arkansas Hospitality Group,"Little Rock, AR",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Arkansas hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.arkansashospitalitygroup.com,Procurement Manager,purchasing@arkansashotels.com,(AR) Hospitality Purchasing,true,open,11/05/2025
Arkansas Commercial Properties - Janitorial Supply Contract,Arkansas Commercial Properties,"Little Rock, AR",Real Estate,"$600,000 - $2,000,000",02/03/2026,Arkansas commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.arkansasproperties.com,Facilities Management,facilities@arkansasproperties.com,(AR) Property Management,true,open,11/05/2025
Arkansas Airport Authority - Janitorial Supply Contract,Arkansas Airport Authority,"Little Rock, AR",Airport,"$750,000 - $2,500,000",02/03/2026,"Arkansas airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.arkansasairport.com,Facilities Procurement,procurement@arkansasairport.com,(AR) Airport Operations,true,open,11/05/2025
Arkansas Correctional Facilities - Janitorial Supply Contract,Arkansas Correctional Facilities,"Little Rock, AR",Corrections,"$900,000 - $3,000,000",02/03/2026,Arkansas Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ar.gov,Facilities Procurement,procurement@corrections.ar.gov,(AR) DOC Procurement,true,open,11/05/2025
Arkansas Port Authority - Janitorial Supply Contract,Arkansas Port Authority,"Little Rock, AR",Port,"$500,000 - $1,800,000",02/03/2026,"Arkansas port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.arkansasport.com,Facilities Director,facilities@arkansasport.com,(AR) Port Operations,true,open,11/05/2025
Arkansas Senior Living & Care - Janitorial Supply Contract,Arkansas Senior Living & Care,"Little Rock, AR",Senior Care,"$600,000 - $2,000,000",02/03/2026,Arkansas assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.arkansasseniorcare.com,Procurement Director,procurement@arkansasseniorcare.com,(AR) Senior Care Purchasing,true,open,11/05/2025
Arkansas Retail Chain HQ - Janitorial Supply Contract,Arkansas Retail Chain HQ,"Little Rock, AR",Retail,"$1,200,000 - $4,000,000",02/03/2026,Arkansas retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.arkansasretail.com,Corporate Procurement,procurement@arkansasretail.com,(AR) Retail Procurement,true,open,11/05/2025
Arkansas Manufacturing Plant - Janitorial Supply Contract,Arkansas Manufacturing Plant,"Little Rock, AR",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Arkansas manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.arkansasmanufacturing.com,Operations Manager,operations@arkansasmfg.com,(AR) Plant Operations,true,open,11/05/2025
California Facilities Management Department - Janitorial Supply Contract,California Facilities Management Department,"Sacramento, CA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"California Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ca.gov,Facilities Director,facilities@dgs.ca.gov,(CA) State Facilities Office,true,open,11/05/2025
California Department of Education - Janitorial Supply Contract,California Department of Education,"Sacramento, CA",Education,"$1,000,000 - $5,000,000",02/03/2026,"California Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ca.gov,Procurement Services,procurement@education.ca.gov,(CA) DOE Procurement,true,open,11/05/2025
California University System - Janitorial Supply Contract,California University System,"Sacramento, CA",Education,"$500,000 - $2,000,000",02/03/2026,California government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.california.gov,Procurement Office,procurement@ca.gov,(CA) State Procurement,true,open,11/05/2025
California Healthcare Network - Janitorial Supply Contract,California Healthcare Network,"Sacramento, CA",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"California healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.californiahealthnetwork.org,Supply Chain Director,procurement@californiahealth.org,(CA) Healthcare Procurement,true,open,11/05/2025
California Hospitality Group - Janitorial Supply Contract,California Hospitality Group,"Sacramento, CA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"California hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.californiahospitalitygroup.com,Procurement Manager,purchasing@californiahotels.com,(CA) Hospitality Purchasing,true,open,11/05/2025
California Commercial Properties - Janitorial Supply Contract,California Commercial Properties,"Sacramento, CA",Real Estate,"$600,000 - $2,000,000",02/03/2026,California commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.californiaproperties.com,Facilities Management,facilities@californiaproperties.com,(CA) Property Management,true,open,11/05/2025
California Airport Authority - Janitorial Supply Contract,California Airport Authority,"Sacramento, CA",Airport,"$750,000 - $2,500,000",02/03/2026,"California airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.californiaairport.com,Facilities Procurement,procurement@californiaairport.com,(CA) Airport Operations,true,open,11/05/2025
California Correctional Facilities - Janitorial Supply Contract,California Correctional Facilities,"Sacramento, CA",Corrections,"$900,000 - $3,000,000",02/03/2026,California Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ca.gov,Facilities Procurement,procurement@corrections.ca.gov,(CA) DOC Procurement,true,open,11/05/2025
California Port Authority - Janitorial Supply Contract,California Port Authority,"Sacramento, CA",Port,"$500,000 - $1,800,000",02/03/2026,"California port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.californiaport.com,Facilities Director,facilities@californiaport.com,(CA) Port Operations,true,open,11/05/2025
California Senior Living & Care - Janitorial Supply Contract,California Senior Living & Care,"Sacramento, CA",Senior Care,"$600,000 - $2,000,000",02/03/2026,California assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.californiaseniorcare.com,Procurement Director,procurement@californiaseniorcare.com,(CA) Senior Care Purchasing,true,open,11/05/2025
California Retail Chain HQ - Janitorial Supply Contract,California Retail Chain HQ,"Sacramento, CA",Retail,"$1,200,000 - $4,000,000",02/03/2026,California retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.californiaretail.com,Corporate Procurement,procurement@californiaretail.com,(CA) Retail Procurement,true,open,11/05/2025
California Manufacturing Plant - Janitorial Supply Contract,California Manufacturing Plant,"Sacramento, CA",Manufacturing,"$800,000 - $2,500,000",02/03/2026,California manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.californiamanufacturing.com,Operations Manager,operations@californiamfg.com,(CA) Plant Operations,true,open,11/05/2025
Colorado Facilities Management Department - Janitorial Supply Contract,Colorado Facilities Management Department,"Denver, CO",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Colorado Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.co.gov,Facilities Director,facilities@dgs.co.gov,(CO) State Facilities Office,true,open,11/05/2025
Colorado Department of Education - Janitorial Supply Contract,Colorado Department of Education,"Denver, CO",Education,"$1,000,000 - $5,000,000",02/03/2026,"Colorado Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.co.gov,Procurement Services,procurement@education.co.gov,(CO) DOE Procurement,true,open,11/05/2025
Colorado University System - Janitorial Supply Contract,Colorado University System,"Denver, CO",Education,"$500,000 - $2,000,000",02/03/2026,Colorado government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.colorado.gov,Procurement Office,procurement@co.gov,(CO) State Procurement,true,open,11/05/2025
Colorado Healthcare Network - Janitorial Supply Contract,Colorado Healthcare Network,"Denver, CO",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Colorado healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.coloradohealthnetwork.org,Supply Chain Director,procurement@coloradohealth.org,(CO) Healthcare Procurement,true,open,11/05/2025
Colorado Hospitality Group - Janitorial Supply Contract,Colorado Hospitality Group,"Denver, CO",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Colorado hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.coloradohospitalitygroup.com,Procurement Manager,purchasing@coloradohotels.com,(CO) Hospitality Purchasing,true,open,11/05/2025
Colorado Commercial Properties - Janitorial Supply Contract,Colorado Commercial Properties,"Denver, CO",Real Estate,"$600,000 - $2,000,000",02/03/2026,Colorado commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.coloradoproperties.com,Facilities Management,facilities@coloradoproperties.com,(CO) Property Management,true,open,11/05/2025
Colorado Airport Authority - Janitorial Supply Contract,Colorado Airport Authority,"Denver, CO",Airport,"$750,000 - $2,500,000",02/03/2026,"Colorado airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.coloradoairport.com,Facilities Procurement,procurement@coloradoairport.com,(CO) Airport Operations,true,open,11/05/2025
Colorado Correctional Facilities - Janitorial Supply Contract,Colorado Correctional Facilities,"Denver, CO",Corrections,"$900,000 - $3,000,000",02/03/2026,Colorado Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.co.gov,Facilities Procurement,procurement@corrections.co.gov,(CO) DOC Procurement,true,open,11/05/2025
Colorado Port Authority - Janitorial Supply Contract,Colorado Port Authority,"Denver, CO",Port,"$500,000 - $1,800,000",02/03/2026,"Colorado port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.coloradoport.com,Facilities Director,facilities@coloradoport.com,(CO) Port Operations,true,open,11/05/2025
Colorado Senior Living & Care - Janitorial Supply Contract,Colorado Senior Living & Care,"Denver, CO",Senior Care,"$600,000 - $2,000,000",02/03/2026,Colorado assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.coloradoseniorcare.com,Procurement Director,procurement@coloradoseniorcare.com,(CO) Senior Care Purchasing,true,open,11/05/2025
Colorado Retail Chain HQ - Janitorial Supply Contract,Colorado Retail Chain HQ,"Denver, CO",Retail,"$1,200,000 - $4,000,000",02/03/2026,Colorado retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.coloradoretail.com,Corporate Procurement,procurement@coloradoretail.com,(CO) Retail Procurement,true,open,11/05/2025
Colorado Manufacturing Plant - Janitorial Supply Contract,Colorado Manufacturing Plant,"Denver, CO",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Colorado manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.coloradomanufacturing.com,Operations Manager,operations@coloradomfg.com,(CO) Plant Operations,true,open,11/05/2025
Connecticut Facilities Management Department - Janitorial Supply Contract,Connecticut Facilities Management Department,"Hartford, CT",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Connecticut Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ct.gov,Facilities Director,facilities@dgs.ct.gov,(CT) State Facilities Office,true,open,11/05/2025
Connecticut Department of Education - Janitorial Supply Contract,Connecticut Department of Education,"Hartford, CT",Education,"$1,000,000 - $5,000,000",02/03/2026,"Connecticut Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ct.gov,Procurement Services,procurement@education.ct.gov,(CT) DOE Procurement,true,open,11/05/2025
Connecticut University System - Janitorial Supply Contract,Connecticut University System,"Hartford, CT",Education,"$500,000 - $2,000,000",02/03/2026,Connecticut government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.connecticut.gov,Procurement Office,procurement@ct.gov,(CT) State Procurement,true,open,11/05/2025
Connecticut Healthcare Network - Janitorial Supply Contract,Connecticut Healthcare Network,"Hartford, CT",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Connecticut healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.connecticuthealthnetwork.org,Supply Chain Director,procurement@connecticuthealth.org,(CT) Healthcare Procurement,true,open,11/05/2025
Connecticut Hospitality Group - Janitorial Supply Contract,Connecticut Hospitality Group,"Hartford, CT",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Connecticut hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.connecticuthospitalitygroup.com,Procurement Manager,purchasing@connecticuthotels.com,(CT) Hospitality Purchasing,true,open,11/05/2025
Connecticut Commercial Properties - Janitorial Supply Contract,Connecticut Commercial Properties,"Hartford, CT",Real Estate,"$600,000 - $2,000,000",02/03/2026,Connecticut commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.connecticutproperties.com,Facilities Management,facilities@connecticutproperties.com,(CT) Property Management,true,open,11/05/2025
Connecticut Airport Authority - Janitorial Supply Contract,Connecticut Airport Authority,"Hartford, CT",Airport,"$750,000 - $2,500,000",02/03/2026,"Connecticut airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.connecticutairport.com,Facilities Procurement,procurement@connecticutairport.com,(CT) Airport Operations,true,open,11/05/2025
Connecticut Correctional Facilities - Janitorial Supply Contract,Connecticut Correctional Facilities,"Hartford, CT",Corrections,"$900,000 - $3,000,000",02/03/2026,Connecticut Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ct.gov,Facilities Procurement,procurement@corrections.ct.gov,(CT) DOC Procurement,true,open,11/05/2025
